date,open,high,low,close,volume,amount,turnover_rate
2024-06-03,33.4,33.54,33.01,33.36,132707,440904657.76,1.1
2024-06-04,33.36,33.57,32.91,33.51,107433,358139965.39,0.89
2024-06-05,33.3,33.68,33.0,33.04,117355,390841993.49,0.97
2024-06-06,33.2,34.29,33.0,33.05,181752,608914472.49,1.5
2024-06-07,33.04,33.2,31.9,32.24,192311,623190157.94,1.59
2024-06-11,31.93,32.15,31.52,31.94,112454,358212058.85,0.93
2024-06-12,31.92,32.07,31.57,32.07,114957,366369046.14,0.95
2024-06-13,32.08,32.31,31.61,31.68,103864,330668758.53,0.86
2024-06-14,31.64,31.75,30.98,31.55,165633,517687091.77,1.37
2024-06-17,31.25,32.05,31.2,31.66,131721,416963517.13,1.09
2024-06-18,31.66,32.05,31.32,31.85,124896,396567607.47,1.03
2024-06-19,31.89,31.9,31.0,31.01,128337,402366110.56,1.06
2024-06-20,30.97,31.04,29.85,29.88,181018,547964218.36,1.5
2024-06-21,29.71,29.88,28.93,29.25,171284,502490874.8,1.42
2024-06-24,28.82,29.1,28.47,28.56,151301,434358351.88,1.25
2024-06-25,28.4,28.6,27.9,28.07,130742,368780716.51,1.08
2024-06-26,28.2,30.2,27.77,30.2,303380,888406430.86,2.51
2024-06-27,29.96,30.01,29.2,29.24,169260,501634637.79,1.4
2024-06-28,29.25,29.47,28.55,28.65,143381,415970737.53,1.19
2024-07-01,28.25,28.87,28.07,28.83,113325,321771910.66,0.94
2024-07-02,28.93,29.29,28.51,28.51,112706,325555715.36,0.93
2024-07-03,28.6,29.8,28.5,29.47,200143,585041249.15,1.66
2024-07-04,29.45,29.7,28.95,29.01,130893,383626171.77,1.08
2024-07-05,28.9,29.07,28.4,28.91,106256,306125817.04,0.88
2024-07-08,28.4,28.45,27.51,27.61,171860,479371099.52,1.42
2024-07-09,27.35,27.72,27.02,27.23,179185,490271169.22,1.48
2024-07-10,26.78,29.2,26.62,27.82,320499,905483542.84,2.65
2024-07-11,28.09,29.69,28.05,29.19,368242,1074035493.92,3.05
2024-07-12,29.02,29.38,28.77,28.87,181516,525866868.72,1.5
2024-07-15,28.7,28.95,28.47,28.58,104931,300242869.54,0.87
2024-07-16,28.57,29.35,28.51,28.8,181359,525296526.16,1.5
2024-07-17,28.9,29.14,28.64,28.71,150922,435928198.43,1.25
2024-07-18,28.51,28.82,28.15,28.72,148878,423826030.12,1.23
2024-07-19,28.72,29.22,27.99,28.92,210506,601272139.32,1.74
2024-07-22,28.75,29.4,28.72,29.02,186976,542851552.98,1.55
2024-07-23,29.1,29.19,27.92,27.92,158163,450325901.26,1.31
2024-07-24,27.23,27.27,26.55,26.66,120448,323098572.96,1.0
2024-07-25,26.35,27.85,26.3,27.29,201089,550212258.83,1.66
2024-07-26,27.3,28.64,27.3,28.0,204513,575210626.93,1.69
2024-07-29,27.95,27.95,26.85,26.85,183765,498431699.38,1.52
2024-07-30,26.75,26.77,26.31,26.67,119131,315690588.83,0.99
2024-07-31,26.76,28.13,26.5,28.13,268360,740211063.73,2.22
2024-08-01,28.1,28.21,27.4,27.5,163119,451391974.7,1.35
2024-08-02,27.2,27.75,27.17,27.22,113716,311632304.85,0.94
2024-08-05,27.1,28.43,27.0,27.0,224713,622178912.55,1.86
2024-08-06,27.39,28.22,27.33,27.88,236742,659906384.28,1.96
